資料標題,API網址,更新頻率
水利署疏濬資訊(2013年9月以後),https://data.wra.gov.tw/openapi/api/OpenData/F6C4CB65-4F5F-44D2-9646-73CB587654B3/Data,每月
水庫水情資料,https://data.wra.gov.tw/openapi/api/OpenData/1602CA19-B224-4CC3-AA31-11B1B124530F/Data,每小時
石門水庫濁度資料,https://data.wra.gov.tw/openapi/api/OpenData/2E684C4D-8ADF-43FC-A892-A2A4E9B68F8F/Data,每小時
曾文水庫即時水情資訊,https://data.wra.gov.tw/openapi/api/OpenData/2A49B760-3C0E-4288-B087-D71D6CB360E6/Data,每小時
即時水位資料,https://data.wra.gov.tw/openapi/api/OpenData/2D09DB8B-6A1B-485E-88B5-923A462F475C/Data,即時
地下水水位年度統計,https://data.wra.gov.tw/openapi/api/OpenData/C79B9CF3-122E-43B6-A436-D7F6B40C0D3A/Data,每年
水質水量保護區基本資料,https://data.wra.gov.tw/openapi/api/OpenData/6C0ECFCB-7A80-4092-91BA-23973E56CF83/Data,即時
河川水位測站站況,https://data.wra.gov.tw/openapi/api/OpenData/28E06316-FE39-40E2-8C35-7BF070FD8697/Data,即時
水利署所屬雨量站基本資料,https://data.wra.gov.tw/openapi/api/OpenData/F77C5EE5-2A30-4C62-B241-2F4CC8395864/Data,每年
河川流量測站站況,https://data.wra.gov.tw/openapi/api/OpenData/303C07AD-F0E9-4D6D-8CAB-0DCCB056F811/Data,即時
阿公店水庫即時水情資訊,https://data.wra.gov.tw/openapi/api/OpenData/C3CCE0C8-FB4F-4A44-B05E-C2AC775366C9/Data,每小時
牡丹水庫即時水情資訊,https://data.wra.gov.tw/openapi/api/OpenData/F7C0788D-F513-472D-A80E-1C6372C2FBA5/Data,每小時
地下水水位觀測井井況,https://data.wra.gov.tw/openapi/api/OpenData/AD99E410-8E27-4B5A-AC46-143F7B74C318/Data,每年
水庫每日營運狀況,https://data.wra.gov.tw/openapi/api/OpenData/50C8256D-30C5-4B8D-9B84-2E14D5C6DF71/Data,每日
水權統計資料,https://data.wra.gov.tw/openapi/api/OpenData/9CE724AB-30D2-4C8C-BC7C-42047B36E809/Data,每月
縣市代碼(國土測繪中心編碼),https://iot.wra.gov.tw/adminDivisions/county,即時
鄉鎮代碼(國土測繪中心編碼),https://iot.wra.gov.tw/adminDivisions/town,即時
閘門,https://iot.wra.gov.tw/watergate/stations,不定期:上傳機關依據現場狀況進行上傳週期調整
沖刷深度,https://iot.wra.gov.tw/erosiondepth/stations,不定期:上傳機關依據現場狀況進行上傳週期調整
累計流量,https://iot.wra.gov.tw/cumulativeflow/stations,每10鐘
堤防結構安全,https://iot.wra.gov.tw/damstructure/stations,即時
二維淹水圖層,https://iot.wra.gov.tw/rasterMap/precipitation,即時
二維淹水圖層,https://iot.wra.gov.tw/rasterMap/precipitation/rasterMapMetaData,即時
二維淹水圖層,https://iot.wra.gov.tw/rasterMap/precipitation/historical,即時
二維淹水圖層,https://iot.wra.gov.tw/rasterMap/precipitation/historical/rasterMapMetaData,即時
二維淹水圖層,https://iot.wra.gov.tw/rasterMap/inundation,即時
二維淹水圖層,https://iot.wra.gov.tw/rasterMap/inundation/rasetMapMetaData,即時
二維淹水圖層,https://iot.wra.gov.tw/rasterMap/inundation/historical,即時
二維淹水圖層,https://iot.wra.gov.tw/rasterMap/inundation/historical/rasterMapMetaData,即時
二維淹水圖層,https://iot.wra.gov.tw/rasterMap/inundation/regions,即時
